Page dimensions: width=453.5, height=623.6

Total words on page: 326

TEXT                                                    x0      x1     top  bottom
shows                                                 97.4   113.4   392.0   399.0
the                                                  114.9   123.2   392.0   399.0
number                                               124.7   144.4   392.0   399.0
and                                                  145.9   155.4   392.0   399.0
share                                                156.8   171.1   392.0   399.0
of                                                   172.5   177.5   392.0   399.0
people                                               179.0   196.5   392.0   399.0
who                                                  197.9   208.4   392.0   399.0
cannot                                               209.9   227.7   392.0   399.0
afford                                               229.2   245.1   392.0   399.0
a                                                    246.5   249.4   392.0   399.0
healthy                                              250.9   270.0   392.0   399.0
diet,                                                271.5   283.2   392.0   399.0
or                                                   284.7   289.9   392.0   399.0
who                                                  291.3   301.8   392.0   399.0
are                                                  303.3   311.5   392.0   399.0
at                                                   312.9   318.0   392.0   399.0
risk                                                 319.4   328.9   392.0   399.0
of                                                   330.3   335.3   392.0   399.0
not                                                  336.7   345.1   392.0   399.0
being                                                346.6   360.8   392.0   399.0
able                                                 362.2   373.1   392.0   399.0
to                                                   374.6   379.7   392.0   399.0
afford                                               381.1   397.0   392.0   399.0
one                                                  398.5   407.8   392.0   399.0
if                                                    51.0    54.4   400.5   407.5
a                                                     55.9    58.8   400.5   407.5
shock                                                 60.2    75.4   400.5   407.5
reduces                                               76.9    97.7   400.5   407.5
their                                                 99.1   111.1   400.5   407.5
income                                               112.6   131.4   400.5   407.5
by                                                   132.9   138.8   400.5   407.5
one-third,                                           140.3   166.1   400.5   407.5
by                                                   167.6   173.5   400.5   407.5
region                                               175.0   191.2   400.5   407.5
and                                                  192.7   202.2   400.5   407.5
income                                               203.6   222.5   400.5   407.5
group                                                223.9   238.8   400.5   407.5
in                                                   240.3   244.9   400.5   407.5
2019.                                                246.3   261.4   400.5   407.5
The                                                  262.8   272.3   400.5   407.5
2019                                                 273.8   287.1   400.5   407.5
cost                                                 288.6   299.7   400.5   407.5
of                                                   301.1   306.1   400.5   407.5
a                                                    307.5   310.5   400.5   407.5
healthy                                              311.9   331.1   400.5   407.5
diet                                                 332.5   342.5   400.5   407.5
is                                                   343.9   348.0   400.5   407.5
taken                                                349.5   364.0   400.5   407.5
from                                                 365.4   377.5   400.5   407.5
FAO                                                  379.0   389.2   400.5   407.5
et                                                   390.6   395.5   400.5   407.5
al.                                                  396.9   403.0   400.5   407.5
(2021).                                               51.0    70.2   409.0   416.0
See                                                   71.6    81.1   409.0   416.0
Annex                                                 82.6    99.0   409.0   416.0
1                                                    100.5   103.8   409.0   416.0
of                                                   105.2   110.2   409.0   416.0
the                                                  111.6   120.0   409.0   416.0
report                                               121.4   137.6   409.0   416.0
for                                                  139.1   146.3   409.0   416.0
methodology                                          147.7   181.5   409.0   416.0
and                                                  183.0   192.5   409.0   416.0
data                                                 193.9   205.5   409.0   416.0
sources                                              206.9   227.2   409.0   416.0
and                                                  228.7   238.2   409.0   416.0
Annex                                                239.6   256.0   409.0   416.0
3                                                    257.4   260.8   409.0   416.0
of                                                   262.2   267.2   409.0   416.0
the                                                  268.6   277.0   409.0   416.0
report                                               278.4   294.6   409.0   416.0
for                                                  296.0   303.2   409.0   416.0
the                                                  304.7   313.0   409.0   416.0
results                                              314.5   332.3   409.0   416.0
for                                                  333.7   340.9   409.0   416.0
the                                                  342.3   350.7   409.0   416.0
full                                                 352.1   360.3   409.0   416.0
set                                                  361.8   369.7   409.0   416.0
of                                                   371.1   376.1   409.0   416.0
countries.                                           377.6   403.9   409.0   416.0
SOURCE:                                               51.0    74.5   417.5   424.5
FAO                                                   76.0    86.2   417.5   424.5
elaboration                                           87.7   117.2   417.5   424.5
for                                                  118.7   125.9   417.5   424.5
the                                                  127.3   135.7   417.5   424.5
report.                                              137.1   155.2   417.5   424.5
»                                                     29.9    36.8   451.1   462.1
chains                                                42.5    69.4   452.6   461.1
–                                                     71.8    76.1   452.6   461.1
spatially                                             78.5   113.1   452.6   461.1
short                                                115.5   136.5   452.6   461.1
and                                                  139.0   154.2   452.6   461.1
involving                                            156.7   193.9   452.6   461.1
a                                                    196.3   201.1   452.6   461.1
government                                           236.7   284.8   452.6   461.1
support                                              287.3   318.5   452.6   461.1
and                                                  320.9   336.2   452.6   461.1
social                                               338.6   362.0   452.6   461.1
protection                                           364.4   405.8   452.6   461.1
small                                                 42.5    64.7   464.6   473.1
number                                                67.1    99.2   464.6   473.1
of                                                   101.6   109.1   464.6   473.1
local                                                111.5   130.5   464.6   473.1
intermediaries                                       133.0   193.3   464.6   473.1
–                                                    195.8   200.0   464.6   473.1
programmes                                           236.7   288.7   464.6   473.1
do                                                   291.2   301.0   464.6   473.1
not                                                  303.4   316.1   464.6   473.1
reach                                                318.6   341.4   464.6   473.1
them                                                 343.8   364.4   464.6   473.1
(Figure                                              366.8   388.1   464.1   473.1
8).                                                  389.5   398.3   464.1   473.1
filled                                                42.5    63.4   476.6   485.1
gaps                                                  65.9    84.4   476.6   485.1
left                                                  86.9    99.7   476.6   485.1
by                                                   102.1   111.6   476.6   485.1
modern                                               114.1   145.5   476.6   485.1
and                                                  148.0   163.2   476.6   485.1
transitional                                         165.7   213.1   476.6   485.1
Resilience-building                                  236.7   319.6   484.6   496.6
strategies                                           321.8   364.8   484.6   496.6
may                                                  367.0   385.0   484.6   496.6
chains                                                42.5    69.4   488.6   497.1
disrupted                                             71.8   111.1   488.6   497.1
by                                                   113.5   123.0   488.6   497.1
lockdowns.                                           125.5   170.8   488.6   497.1
Many                                                 173.2   195.5   488.6   497.1
involve                                              236.7   267.1   496.6   508.6
trade-offs                                           269.4   312.8   496.6   508.6
with                                                 315.0   333.6   496.6   508.6
efficiency                                           335.9   378.5   496.6   508.6
and                                                  380.7   396.9   496.6   508.6
proved                                                42.5    70.3   500.6   509.1
to                                                    72.7    80.5   500.6   509.1
be                                                    83.0    92.6   500.6   509.1
nimble                                                95.0   123.4   500.6   509.1
in                                                   125.8   133.9   500.6   509.1
their                                                136.4   155.9   500.6   509.1
responses,                                           158.3   201.4   500.6   509.1
inclusiveness                                        236.7   294.5   508.6   520.6
especially                                            42.5    82.7   512.6   521.1
in                                                    85.2    93.2   512.6   521.1
high-income                                           95.7   146.1   512.6   521.1
countries.                                           148.6   189.1   512.6   521.1
However,                                              42.5    79.8   524.6   533.1
traditional                                           82.3   125.4   524.6   533.1
supply                                               127.9   154.1   524.6   533.1
chains                                               156.6   183.4   524.6   533.1
are                                                  185.9   199.2   524.6   533.1
Agrifood                                             236.7   273.3   524.6   533.1
businesses                                           276.0   321.3   524.6   533.1
have                                                 324.1   343.4   524.6   533.1
different                                            346.1   382.2   524.6   533.1
usually                                               42.5    72.0   536.6   545.1
more                                                  74.4    95.2   536.6   545.1
vulnerable                                            97.6   141.2   536.6   545.1
because,                                             143.7   178.7   536.6   545.1
as                                                   181.2   190.1   536.6   545.1
they                                                 192.5   209.8   536.6   545.1
capacities                                           236.7   278.3   536.6   545.1
to                                                   281.1   289.0   536.6   545.1
bear                                                 291.8   310.7   536.6   545.1
risk                                                 313.5   329.6   536.6   545.1
and                                                  332.4   348.0   536.6   545.1
make                                                 350.7   373.2   536.6   545.1
are                                                   42.5    55.9   548.6   557.1
often                                                 58.3    78.9   548.6   557.1
highly                                                81.3   106.7   548.6   557.1
informal,                                            109.2   147.1   548.6   557.1
they                                                 149.5   166.8   548.6   557.1
are                                                  169.2   182.6   548.6   557.1
resilience-building                                  236.7   315.8   548.6   557.1
investments.                                         318.5   371.6   548.6   557.1
invisible                                             42.5    77.0   560.6   569.1
in                                                    79.5    87.6   560.6   569.1
national                                              90.0   123.3   560.6   569.1
statistics,                                          125.7   164.3   560.6   569.1
and                                                  166.8   182.0   560.6   569.1
Businesses                                           236.7   282.6   560.6   569.1
may                                                  285.4   302.6   560.6   569.1
adopt                                                305.4   328.5   560.6   569.1
diversification                                      331.3   391.7   560.6   569.1
or                                                   394.5   403.1   560.6   569.1
»                                                    411.0   418.0   559.1   570.1
|                                                    218.4   220.3   593.5   600.5
18                                                   222.6   231.0   593.5   600.5
|                                                    233.3   235.1   593.5   600.5
